transaction_id;transaction_type;transaction_amount;transaction_status;transaction_datetime;platform_id;invoice_id
TXN001;Pago de Factura;38940;Pendiente;2024-06-01 10:00:00;1;FAC7068
TXN002;Pago de Factura;75145;Pendiente;2024-07-09 12:00:00;2;FAC6577
TXN003;Pago de Factura;179217;Fallida;2024-06-13 10:00:00;2;FAC5707
TXN004;Pago de Factura;51767;Fallida;2024-07-26 13:00:00;2;FAC7188
TXN005;Pago de Factura;156501;Completada;2024-07-28 06:00:00;2;FAC7289
TXN006;Pago de Factura;32428;Completada;2024-07-16 21:00:00;1;FAC2190
TXN007;Pago de Factura;75301;Pendiente;2024-07-26 22:00:00;2;FAC6207
TXN008;Pago de Factura;16870;Pendiente;2024-06-17 16:00:00;1;FAC1691
TXN009;Pago de Factura;21794;Fallida;2024-07-10 23:00:00;1;FAC4680
TXN010;Pago de Factura;193307;Completada;2024-06-19 23:00:00;2;FAC8010
TXN011;Pago de Factura;159093;Completada;2024-06-01 06:00:00;2;FAC1328
TXN012;Pago de Factura;174518;Pendiente;2024-07-12 19:00:00;1;FAC8140
TXN013;Pago de Factura;110254;Fallida;2024-07-04 12:00:00;2;FAC4679
TXN014;Pago de Factura;162283;Pendiente;2024-07-12 04:00:00;1;FAC3589
TXN015;Pago de Factura;22161;Pendiente;2024-06-21 12:00:00;2;FAC6122
TXN016;Pago de Factura;195775;Pendiente;2024-07-08 12:00:00;2;FAC4870
TXN017;Pago de Factura;20824;Fallida;2024-06-27 03:00:00;1;FAC5322
TXN018;Pago de Factura;191134;Completada;2024-07-09 05:00:00;1;FAC8663
TXN019;Pago de Factura;62979;Completada;2024-06-16 20:00:00;2;FAC4380
TXN020;Pago de Factura;36472;Fallida;2024-06-08 22:00:00;2;FAC5128
TXN021;Pago de Factura;127881;Completada;2024-06-16 06:00:00;1;FAC7986
TXN022;Pago de Factura;26317;Fallida;2024-07-30 03:00:00;2;FAC7543
TXN023;Pago de Factura;147364;Pendiente;2024-07-27 01:00:00;1;FAC7964
TXN024;Pago de Factura;153404;Pendiente;2024-06-26 01:00:00;2;FAC1309
TXN025;Pago de Factura;14210;Completada;2024-07-07 10:00:00;1;FAC8025
TXN026;Pago de Factura;49012;Completada;2024-06-08 19:00:00;2;FAC8943
TXN027;Pago de Factura;40302;Fallida;2024-06-28 06:00:00;2;FAC1190
TXN028;Pago de Factura;27833;Pendiente;2024-07-03 01:00:00;2;FAC4264
TXN029;Pago de Factura;30313;Fallida;2024-07-29 02:00:00;1;FAC1462
TXN030;Pago de Factura;134884;Fallida;2024-07-26 20:00:00;2;FAC6381
TXN031;Pago de Factura;28982;Completada;2024-07-03 10:00:00;1;FAC8571
TXN032;Pago de Factura;158030;Pendiente;2024-06-15 17:00:00;1;FAC7018
TXN033;Pago de Factura;196009;Fallida;2024-06-24 08:00:00;2;FAC4082
TXN034;Pago de Factura;68526;Pendiente;2024-06-22 17:00:00;2;FAC5756
TXN035;Pago de Factura;165287;Completada;2024-06-23 12:00:00;1;FAC9278
TXN036;Pago de Factura;178265;Fallida;2024-06-28 11:00:00;1;FAC6223
TXN037;Pago de Factura;98069;Completada;2024-07-23 18:00:00;1;FAC8510
TXN038;Pago de Factura;153150;Completada;2024-07-28 00:00:00;1;FAC4305
TXN039;Pago de Factura;86902;Pendiente;2024-06-05 12:00:00;2;FAC9358
TXN040;Pago de Factura;96457;Pendiente;2024-06-28 04:00:00;1;FAC1208
TXN041;Pago de Factura;145586;Fallida;2024-06-07 20:00:00;2;FAC5492
TXN042;Pago de Factura;163425;Fallida;2024-07-15 19:00:00;1;FAC6585
TXN043;Pago de Factura;186218;Pendiente;2024-07-26 02:00:00;1;FAC2187
TXN044;Pago de Factura;159000;Fallida;2024-07-12 01:00:00;2;FAC7545
TXN045;Pago de Factura;94554;Pendiente;2024-07-21 21:00:00;2;FAC9699
TXN046;Pago de Factura;152659;Fallida;2024-07-26 11:00:00;2;FAC2512
TXN047;Pago de Factura;165021;Pendiente;2024-06-05 17:00:00;2;FAC1330
TXN048;Pago de Factura;115066;Completada;2024-06-10 10:00:00;2;FAC9310
TXN049;Pago de Factura;161029;Completada;2024-06-03 20:00:00;2;FAC9524
TXN050;Pago de Factura;167924;Completada;2024-07-29 03:00:00;1;FAC7938
TXN051;Pago de Factura;147991;Pendiente;2024-07-24 19:00:00;2;FAC8649
TXN052;Pago de Factura;124048;Completada;2024-07-26 11:00:00;1;FAC4348
TXN053;Pago de Factura;138162;Completada;2024-07-13 23:00:00;1;FAC9905
TXN054;Pago de Factura;161137;Fallida;2024-06-28 00:00:00;1;FAC5210
TXN055;Pago de Factura;35669;Fallida;2024-06-17 03:00:00;2;FAC8033
TXN056;Pago de Factura;67867;Fallida;2024-07-06 07:00:00;1;FAC7850
TXN057;Pago de Factura;58242;Fallida;2024-07-25 20:00:00;1;FAC7378
TXN058;Pago de Factura;113319;Pendiente;2024-06-09 20:00:00;1;FAC3104
TXN059;Pago de Factura;37708;Completada;2024-07-11 23:00:00;2;FAC2382
TXN060;Pago de Factura;54969;Pendiente;2024-07-20 16:00:00;1;FAC6022
TXN061;Pago de Factura;51411;Completada;2024-07-08 23:00:00;2;FAC3529
TXN062;Pago de Factura;45233;Completada;2024-07-17 05:00:00;1;FAC1856
TXN063;Pago de Factura;99926;Fallida;2024-06-10 01:00:00;1;FAC5678
TXN064;Pago de Factura;31572;Completada;2024-06-20 12:00:00;1;FAC7474
TXN065;Pago de Factura;123720;Pendiente;2024-06-14 03:00:00;1;FAC9956
TXN066;Pago de Factura;17171;Fallida;2024-07-29 14:00:00;2;FAC7570
TXN067;Pago de Factura;56259;Fallida;2024-07-23 09:00:00;2;FAC2909
TXN068;Pago de Factura;196548;Fallida;2024-06-20 22:00:00;2;FAC2139
TXN069;Pago de Factura;93635;Completada;2024-06-20 18:00:00;2;FAC8752
TXN070;Pago de Factura;58585;Completada;2024-07-15 21:00:00;2;FAC8107
TXN071;Pago de Factura;86244;Completada;2024-06-06 18:00:00;2;FAC7475
TXN072;Pago de Factura;55572;Fallida;2024-07-18 20:00:00;1;FAC3660
TXN073;Pago de Factura;50713;Fallida;2024-06-21 06:00:00;1;FAC9573
TXN074;Pago de Factura;129480;Completada;2024-06-29 18:00:00;1;FAC2238
TXN075;Pago de Factura;41657;Completada;2024-07-03 20:00:00;2;FAC6979
TXN076;Pago de Factura;126084;Completada;2024-06-15 11:00:00;2;FAC8740
TXN077;Pago de Factura;190936;Fallida;2024-06-04 07:00:00;1;FAC9872
TXN078;Pago de Factura;78561;Fallida;2024-06-21 21:00:00;1;FAC9634
TXN079;Pago de Factura;162844;Completada;2024-07-23 11:00:00;1;FAC9210
TXN080;Pago de Factura;80235;Fallida;2024-06-29 15:00:00;1;FAC3888
TXN081;Pago de Factura;158138;Pendiente;2024-06-18 00:00:00;2;FAC7110
TXN082;Pago de Factura;101593;Pendiente;2024-06-06 15:00:00;2;FAC5649
TXN083;Pago de Factura;103741;Pendiente;2024-06-22 03:00:00;2;FAC1490
TXN084;Pago de Factura;41300;Pendiente;2024-07-04 02:00:00;2;FAC5439
TXN085;Pago de Factura;89956;Completada;2024-06-19 11:00:00;2;FAC4962
TXN086;Pago de Factura;165402;Completada;2024-07-13 05:00:00;1;FAC8801
TXN087;Pago de Factura;106689;Pendiente;2024-07-04 09:00:00;1;FAC1904
TXN088;Pago de Factura;22411;Completada;2024-06-14 11:00:00;1;FAC7503
TXN089;Pago de Factura;11359;Pendiente;2024-06-27 05:00:00;2;FAC7561
TXN090;Pago de Factura;79808;Pendiente;2024-06-08 10:00:00;1;FAC5390
TXN091;Pago de Factura;42648;Pendiente;2024-07-05 21:00:00;1;FAC1760
TXN092;Pago de Factura;101468;Pendiente;2024-06-03 05:00:00;2;FAC3395
TXN093;Pago de Factura;115488;Pendiente;2024-06-21 17:00:00;2;FAC1926
TXN094;Pago de Factura;61920;Completada;2024-07-26 00:00:00;2;FAC7521
TXN095;Pago de Factura;141510;Fallida;2024-07-23 20:00:00;1;FAC6693
TXN096;Pago de Factura;39792;Pendiente;2024-07-08 19:00:00;2;FAC1513
TXN097;Pago de Factura;87689;Completada;2024-07-09 05:00:00;2;FAC3039
TXN098;Pago de Factura;178739;Fallida;2024-07-06 00:00:00;1;FAC3709
TXN099;Pago de Factura;105611;Fallida;2024-07-27 10:00:00;2;FAC3914
TXN100;Pago de Factura;141787;Fallida;2024-07-11 07:00:00;2;FAC8875
